,STATION,Day of Week,ENTRIES
0,1 AV,0,15817.77966101695
1,1 AV,1,17275.050847457627
2,1 AV,2,18004.661016949154
3,1 AV,3,18011.322033898305
4,1 AV,4,18247.237288135595
5,1 AV,5,8542.745762711864
6,1 AV,6,6837.813559322034
7,103 ST,0,26281.322033898305
8,103 ST,1,28493.915254237287
9,103 ST,2,28709.669491525423
10,103 ST,3,28674.70338983051
11,103 ST,4,28138.5593220339
12,103 ST,5,16108.593220338984
13,103 ST,6,12908.898305084746
14,103 ST-CORONA,0,18012.103448275862
15,103 ST-CORONA,1,18652.655172413793
16,103 ST-CORONA,2,19199.0
17,103 ST-CORONA,3,19083.344827586207
18,103 ST-CORONA,4,19260.53448275862
19,103 ST-CORONA,5,12822.896551724138
20,103 ST-CORONA,6,9633.586206896553
21,104 ST,0,3656.1525423728813
22,104 ST,1,3987.813559322034
23,104 ST,2,4056.7796610169494
24,104 ST,3,4025.9830508474574
25,104 ST,4,3930.8050847457625
26,104 ST,5,1365.7457627118645
27,104 ST,6,980.4406779661017
28,110 ST,0,9325.793103448275
29,110 ST,1,9935.896551724138
30,110 ST,2,10290.568965517241
31,110 ST,3,10165.98275862069
32,110 ST,4,10233.508771929824
33,110 ST,5,6029.637931034483
34,110 ST,6,4480.913793103448
35,111 ST,0,13945.118644067798
36,111 ST,1,14629.35593220339
37,111 ST,2,15002.762711864407
38,111 ST,3,14838.64406779661
39,111 ST,4,14250.542372881357
40,111 ST,5,9028.593220338984
41,111 ST,6,6720.4915254237285
42,116 ST,0,28712.9406779661
43,116 ST,1,30659.542372881355
44,116 ST,2,30060.050847457627
45,116 ST,3,30092.330508474577
46,116 ST,4,29945.72033898305
47,116 ST,5,17496.22033898305
48,116 ST,6,16121.474576271186
49,116 ST-COLUMBIA,0,12056.105263157895
50,116 ST-COLUMBIA,1,13254.754385964912
51,116 ST-COLUMBIA,2,13484.912280701754
52,116 ST-COLUMBIA,3,13675.859649122807
53,116 ST-COLUMBIA,4,12743.912280701754
54,116 ST-COLUMBIA,5,6258.793103448276
55,116 ST-COLUMBIA,6,4865.25
56,121 ST,0,1590.2711864406779
57,121 ST,1,1730.3559322033898
58,121 ST,2,1782.322033898305
59,121 ST,3,1847.3983050847457
60,121 ST,4,1730.0169491525423
61,121 ST,5,481.864406779661
62,121 ST,6,364.96610169491527
63,125 ST,0,66027.86440677966
64,125 ST,1,68823.56779661016
65,125 ST,2,69464.52542372882
66,125 ST,3,71260.15254237287
67,125 ST,4,69152.2627118644
68,125 ST,5,44450.91525423729
69,125 ST,6,36801.61016949153
70,135 ST,0,16638.07627118644
71,135 ST,1,18091.13559322034
72,135 ST,2,18670.974576271186
73,135 ST,3,18656.64406779661
74,135 ST,4,18133.694915254237
75,135 ST,5,10387.06779661017
76,135 ST,6,8226.35593220339
77,137 ST CITY COL,0,11523.612068965518
78,137 ST CITY COL,1,12332.98275862069
79,137 ST CITY COL,2,12621.01724137931
80,137 ST CITY COL,3,12612.879310344828
81,137 ST CITY COL,4,11777.163793103447
82,137 ST CITY COL,5,7935.379310344828
83,137 ST CITY COL,6,6210.551724137931
84,138/GRAND CONC,0,2816.2413793103447
85,138/GRAND CONC,1,3096.0689655172414
86,138/GRAND CONC,2,3172.1724137931033
87,138/GRAND CONC,3,3105.396551724138
88,138/GRAND CONC,4,3020.948275862069
89,138/GRAND CONC,5,1550.9310344827586
90,138/GRAND CONC,6,1050.948275862069
91,14 ST,0,48965.96610169492
92,14 ST,1,54683.957627118645
93,14 ST,2,56652.254237288136
